Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GU190708-CTD16-252_MiFish_S33.2	GU190708-CTD16-252_MiFish_S33.2.fastq	Conventional base calls	Sanger / Illumina 1.9	203344.0	35.5 Mbp	0.0	106-227	49.0	4.518451491069321	174.52142182705168	172	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
GU190708-CTD17-171_MiFish_S34.2	GU190708-CTD17-171_MiFish_S34.2.fastq	Conventional base calls	Sanger / Illumina 1.9	173107.0	30.3 Mbp	0.0	111-235	47.0	3.318756607185151	174.22810747110168	167	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	warn
GU190709-CTD20-280_MiFish_S35.2	GU190709-CTD20-280_MiFish_S35.2.fastq	Conventional base calls	Sanger / Illumina 1.9	251805.0	46.6 Mbp	0.0	147-238	52.0	3.1333770179305414	184.86717102519808	176	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	fail
GU190710-CTD22-245_MiFish_S36.2	GU190710-CTD22-245_MiFish_S36.2.fastq	Conventional base calls	Sanger / Illumina 1.9	237240.0	40.5 Mbp	0.0	103-226	46.0	3.0117180913842523	169.8102891586579	167	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
GU190710-CTD23-190_MiFish_S37.2	GU190710-CTD23-190_MiFish_S37.2.fastq	Conventional base calls	Sanger / Illumina 1.9	144053.0	24.9 Mbp	0.0	106-225	49.0	4.89611462447849	171.87825314294045	167	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
GU190714-CTD25-185_MiFish_S38.2	GU190714-CTD25-185_MiFish_S38.2.fastq	Conventional base calls	Sanger / Illumina 1.9	281786.0	47.9 Mbp	0.0	163-227	47.0	3.0292491465154407	169.42012023308467	168	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
GU190714-CTD26-260_MiFish_S39.2	GU190714-CTD26-260_MiFish_S39.2.fastq	Conventional base calls	Sanger / Illumina 1.9	216400.0	40 Mbp	0.0	94-229	50.0	13.073012939001849	184.46490295748615	172	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	fail
GU190715-CTD28-310_MiFish_S40.2	GU190715-CTD28-310_MiFish_S40.2.fastq	Conventional base calls	Sanger / Illumina 1.9	220465.0	38.2 Mbp	0.0	105-225	51.0	4.9690427051913	172.85566416437985	172	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
GU190721-CTD31-205_MiFish_S41.2	GU190721-CTD31-205_MiFish_S41.2.fastq	Conventional base calls	Sanger / Illumina 1.9	143216.0	24.5 Mbp	0.0	162-225	46.0	2.4815663054407326	170.30453301307116	168	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
GU190722-CTD33-205_MiFish_S42.2	GU190722-CTD33-205_MiFish_S42.2.fastq	Conventional base calls	Sanger / Illumina 1.9	177571.0	30.2 Mbp	0.0	165-225	46.0	2.218267622528453	169.35008531798547	168	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
GU190724-CTD36-310_MiFish_S43.2	GU190724-CTD36-310_MiFish_S43.2.fastq	Conventional base calls	Sanger / Illumina 1.9	141472.0	25.2 Mbp	0.0	151-236	51.0	4.106819724044334	177.99657882831937	170	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	warn
GU190727-CTD40-210_MiFish_S44.2	GU190727-CTD40-210_MiFish_S44.2.fastq	Conventional base calls	Sanger / Illumina 1.9	211821.0	35.9 Mbp	0.0	102-225	46.0	2.287780720514019	168.2378895388087	167	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
GU190727-CTD41B-145_MiFish_S45.2	GU190727-CTD41B-145_MiFish_S45.2.fastq	Conventional base calls	Sanger / Illumina 1.9	172979.0	29.4 Mbp	0.0	165-224	46.0	1.6684106163175876	169.45985350822932	168	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
GU190728-CTD43-245_MiFish_S46.2	GU190728-CTD43-245_MiFish_S46.2.fastq	Conventional base calls	Sanger / Illumina 1.9	134106.0	24.5 Mbp	0.0	103-227	51.0	3.5479396894993513	182.35352631500456	177	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	fail
GU190728-CTD44B-125_MiFish_S47.2	GU190728-CTD44B-125_MiFish_S47.2.fastq	Conventional base calls	Sanger / Illumina 1.9	178088.0	31.2 Mbp	0.0	56-236	47.0	4.2624994384798525	174.23419882305376	167	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
GU190729-CTD46-240_MiFish_S48.2	GU190729-CTD46-240_MiFish_S48.2.fastq	Conventional base calls	Sanger / Illumina 1.9	134471.0	24.9 Mbp	0.0	165-238	51.0	4.161492068921923	185.05642108707454	176	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	warn
GU190729-CTD47-140_MiFish_S49.2	GU190729-CTD47-140_MiFish_S49.2.fastq	Conventional base calls	Sanger / Illumina 1.9	152342.0	26 Mbp	0.0	163-225	47.0	3.6562471281721387	170.2573026479894	168	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
GU190731-CTD50-150_MiFish_S50.2	GU190731-CTD50-150_MiFish_S50.2.fastq	Conventional base calls	Sanger / Illumina 1.9	181202.0	30.9 Mbp	0.0	164-243	46.0	2.2069292833412435	169.9400116996501	168	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
PCRNeg_MiFish_S54.2	PCRNeg_MiFish_S54.2.fastq	Conventional base calls	Sanger / Illumina 1.9	247.0	48.2 kbp	0.0	165-225	47.0	73.68421052631578	194.46963562753035	176	pass	fail	fail	fail	fail	fail	pass	warn	pass	fail	pass
