sample_name	sample_name_water	description	control_status	sample_pairing	sample_pairs	esp_storage_carousel	sample_station	auv_latitude_deg	auv_longitude_deg	archive_bottom	lg_bottom	puck_no_7-0xxx	spr	sample_type	collection_date	modis_cyanoindex	modis_cyanoindex_date	collection_modis_same_date	site	region	time_started_filtering	filtration_duration_hhmmss	auv_avg_sample_depth_m	auv_range_sample_depth_m	large_depth_range	auv_sample_volume	spr_file	boat_sample_lat	boat_sample_lon	boat_sample_collection_date	boat_sample_time	boat_sample_depth_m	boat_sample_volume	auv_chlorophyll_mean_ug_per_l	auv_oxygen_mean_ug_per_l	auv_par_mean_umol_s_m2	auv_temp_mean_degc	lab_spr_mclr_ug_per_l	mc_elisa_ug_per_l	time_of_day	qpcr_16s_total_cyano_cpr	total_cyanobacteria_qpcr_gc_per_ml	qpcr_toxin_mcye_cpr	mcye_qpcr_gc_per_ml	sample_potency	deployment_notes	sample_number_16s	sample_number_18s	sample_number_shotgun	filter_size	concentration_ng_per_ul	volume_ul	sequencing_notes	sequencing_number_no_data
SC16_22	SC16	Lake Erie sample	Lake Erie sample	paired with SC15, SC14	12.0	SC16	Field 39	41.8461941447737	-83.2679924441615	55.0		60.0		Archive 5.0um/0.2um	2018-08-31	Low	2018-08-31	Yes	WE4-WE8	open_water	18:05:32.070000	00:04:27	2.504061330473185	1.1931226751954502	No	76.1								5.91462560032689	9336.37287427326	8.60535257028979	24.7953310500744			Late	148358.9370859919	195209.1277447262	555.7389669964457	146.24709657801205	0.0007491816508153169		134772	136549.0	134861.0	22	1.7	88	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC16_50	SC16	Lake Erie sample	Lake Erie sample	paired with SC15, SC14	12.0	SC16	Field 39	41.8461941447737	-83.2679924441615	55.0		60.0		Archive 5.0um/0.2um	2018-08-31	Low	2018-08-31	Yes	WE4-WE8	open_water	18:05:32.070000	00:04:27	2.504061330473185	1.1931226751954502	No	76.1								5.91462560032689	9336.37287427326	8.60535257028979	24.7953310500744			Late	148358.9370859919	195209.1277447262	555.7389669964457	146.24709657801205	0.0007491816508153169		134771	136548.0	134860.0	50	6.3	73	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC15_22	SC15	Lake Erie sample	Lake Erie sample	paired with SC16, SC14	12.0	SC15	Field 40	41.8475939034844	-83.2667740633864	221.0		272.0		Archive 5.0um/0.2um	2018-08-31	Low	2018-08-31	Yes	WE4-WE8	open_water	19:33:34.590000	00:03:56	2.56023604644334	1.22233070960006	No	66.1								5.85930079460144	9240.38610351562	0.74414911838714	24.7488089752197			Late	117768.88401963872	178437.70306005867	469.02925154194367	142.1300762248314	0.0007965249147877295		134774	136551.0	134863.0	22	3.3	87	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC15_50	SC15	Lake Erie sample	Lake Erie sample	paired with SC16, SC14	12.0	SC15	Field 40	41.8475939034844	-83.2667740633864	221.0		272.0		Archive 5.0um/0.2um	2018-08-31	Low	2018-08-31	Yes	WE4-WE8	open_water	19:33:34.590000	00:03:56	2.56023604644334	1.22233070960006	No	66.1								5.85930079460144	9240.38610351562	0.74414911838714	24.7488089752197			Late	117768.88401963872	178437.70306005867	469.02925154194367	142.1300762248314	0.0007965249147877295		134773	136550.0	134862.0	50	7.2	72	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC14_22	SC14	Lake Erie sample	Lake Erie sample	paired with SC16, SC15	12.0	SC14	Field 41	41.8467869208021	-83.2627010305909	166.0		74.0		Archive 5.0um/0.2um	2018-08-31	Low	2018-08-31	Yes	WE4-WE8	open_water	20:03:33.320000	00:03:56	2.57029017415892	1.00119784754362	No	65.6								5.82958864927292	9172.57208984375	-0.360642465651035	24.7252607822418			Late	140673.98322030602	213142.39881864548	144.4074856517829	43.759844136903915	0.00020530802120763148		134776	136553.0	134865.0	22	1.1	88	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC14_50	SC14	Lake Erie sample	Lake Erie sample	paired with SC16, SC15	12.0	SC14	Field 41	41.8467869208021	-83.2627010305909	166.0		74.0		Archive 5.0um/0.2um	2018-08-31	Low	2018-08-31	Yes	WE4-WE8	open_water	20:03:33.320000	00:03:56	2.57029017415892	1.00119784754362	No	65.6								5.82958864927292	9172.57208984375	-0.360642465651035	24.7252607822418			Late	140673.98322030602	213142.39881864548	144.4074856517829	43.759844136903915	0.00020530802120763148		134775	136552.0	134864.0	50	5.7	73	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC13_22	SC13	Lake Erie sample	Lake Erie sample	paired with SC12, SC11	13.0	SC13	Field 44	41.7880773172816	-83.1674444682563	164.0		207.0		Archive 5.0um/0.2um	2018-09-01	Absent	2018-09-02	No	WE4-WE13	open_water	02:33:24.020000	00:09:31	2.49760013642509	1.32877433652482	No	164.1								4.56902199983597	8406.57525369395	-0.560959668587083	24.5481505808623			Night	118097.57167028543	72010.71443310087	185.3841046948223	22.607817645710035	0.0003139507477975804		134778	136555.0	134867.0	22	6.7	87	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC13_50	SC13	Lake Erie sample	Lake Erie sample	paired with SC12, SC11	13.0	SC13	Field 44	41.7880773172816	-83.1674444682563	164.0		207.0		Archive 5.0um/0.2um	2018-09-01	Absent	2018-09-02	No	WE4-WE13	open_water	02:33:24.020000	00:09:31	2.49760013642509	1.32877433652482	No	164.1								4.56902199983597	8406.57525369395	-0.560959668587083	24.5481505808623			Night	118097.57167028543	72010.71443310087	185.3841046948223	22.607817645710035	0.0003139507477975804		134777	136554.0	134866.0	50	8.5	72	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC12_22	SC12	Lake Erie sample	Lake Erie sample	paired with SC13, SC11	13.0	SC12	Field 45	41.7871372387396	-83.1625868064349	60.0		66.0		Archive 5.0um/0.2um	2018-09-01	Absent	2018-09-02	No	WE4-WE13	open_water	03:09:59.090000	00:10:03	2.514629634272025	1.28665427489703	No	162.2								4.62549868078207	8378.60595320659	-0.553863007001404	24.5394857969359			Night	121974.19838787252	75292.71505424229	416.6798715680469	51.441959452845296	0.0006832262512486837		134780	136557.0	134869.0	22	2.6	88	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC12_50	SC12	Lake Erie sample	Lake Erie sample	paired with SC13, SC11	13.0	SC12	Field 45	41.7871372387396	-83.1625868064349	60.0		66.0		Archive 5.0um/0.2um	2018-09-01	Absent	2018-09-02	No	WE4-WE13	open_water	03:09:59.090000	00:10:03	2.514629634272025	1.28665427489703	No	162.2								4.62549868078207	8378.60595320659	-0.553863007001404	24.5394857969359			Night	121974.19838787252	75292.71505424229	416.6798715680469	51.441959452845296	0.0006832262512486837		134779	136556.0	134868.0	50	6.1	73	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC11_22	SC11	Lake Erie sample	Lake Erie sample	paired with SC13, SC12	13.0	SC11	Field 46	41.7862639725079	-83.1582791281873	40.0		245.0		Archive 5.0um/0.2um	2018-09-01	Absent	2018-09-02	No	WE4-WE13	open_water	03:46:03.520000	00:08:49	2.5017787833864054	1.0570451476781701	No	148.1								4.64716043939508	8353.33842688765	-0.551464914932031	24.5304195942727			Night	189575.59090126707	128091.61547382911	1566.8453369802492	211.73585634868232	0.001653003247444739		134782	136559.0	134871.0	22	7.6	87	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC11_50	SC11	Lake Erie sample	Lake Erie sample	paired with SC13, SC12	13.0	SC11	Field 46	41.7862639725079	-83.1582791281873	40.0		245.0		Archive 5.0um/0.2um	2018-09-01	Absent	2018-09-02	No	WE4-WE13	open_water	03:46:03.520000	00:08:49	2.5017787833864054	1.0570451476781701	No	148.1								4.64716043939508	8353.33842688765	-0.551464914932031	24.5304195942727			Night	189575.59090126707	128091.61547382911	1566.8453369802492	211.73585634868232	0.001653003247444739		134781	136558.0	134870.0	50	10.2	72	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC07_22	SC07	Lake Erie sample	Lake Erie sample	paired with SC06, SC05	15.0	SC07	Field 51-spare	41.7034293452814	-83.0707734642421	68.0		353.0		Archive 5.0um/0.2um	2018-09-02	Absent	2018-09-02	Yes	WE13-WE16-E	open_water	17:55:53.220000	00:02:56	2.4895076372689546	0.8874082653103899	No	48.3								3.88918816690614	8605.61776534763	9.14261663594895	25.1618069530239			Late	41692.38046662405	86859.12597213344	255.65283478379413	106.52201449324757	0.00122637677159476		134790	136567.0	134879.0	22	1	87	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC07_50	SC07	Lake Erie sample	Lake Erie sample	paired with SC06, SC05	15.0	SC07	Field 51-spare	41.7034293452814	-83.0707734642421	68.0		353.0		Archive 5.0um/0.2um	2018-09-02	Absent	2018-09-02	Yes	WE13-WE16-E	open_water	17:55:53.220000	00:02:56	2.4895076372689546	0.8874082653103899	No	48.3								3.88918816690614	8605.61776534763	9.14261663594895	25.1618069530239			Late	41692.38046662405	86859.12597213344	255.65283478379413	106.52201449324757	0.00122637677159476		134789	136566.0	134878.0	50	3.9	72	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC06_22	SC06	Lake Erie sample	Lake Erie sample	paired with SC07, SC05	15.0	SC06	Field 52-spare	41.7034303933713	-83.0707752111002	270.0		49.0		Archive 5.0um/0.2um	2018-09-02	Absent	2018-09-02	Yes	WE13-WE16-E	open_water	18:24:49.020000	00:01:07	2.454157064394595	0.7274925517667699	No	16.6								3.90737431213774	8274.51612169989	6.17044297991128	25.0163864267283			Late	44239.41860090857	52046.374824598315	17.382160208226217	20.44960024497202	0.00039291113576861593		134792	136569.0	134881.0	22	0	87	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC06_50	SC06	Lake Erie sample	Lake Erie sample	paired with SC07, SC05	15.0	SC06	Field 52-spare	41.7034303933713	-83.0707752111002	270.0		49.0		Archive 5.0um/0.2um	2018-09-02	Absent	2018-09-02	Yes	WE13-WE16-E	open_water	18:24:49.020000	00:01:07	2.454157064394595	0.7274925517667699	No	16.6								3.90737431213774	8274.51612169989	6.17044297991128	25.0163864267283			Late	44239.41860090857	52046.374824598315	17.382160208226217	20.44960024497202	0.00039291113576861593		134791	136568.0	134880.0	50	1.5	69	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC05_22	SC05	Lake Erie sample	Lake Erie sample	paired with SC07, SC06	15.0	SC05	Field 53-spare	41.70343145018	-83.07077697249	158.0		81.0		Archive 5.0um/0.2um	2018-09-02	Absent	2018-09-02	Yes	WE13-WE16-E	open_water	18:52:01.720000	00:03:07	2.550936569964255	1.0859175078305903	No	53.7								3.88724892343794	8395.10104910714	3.18052886315754	25.0932295445033			Late	11378.568457243087	21071.42306896868	110.48165440531443	40.91913126122757	0.0019419253805163295		134794	136571.0	134883.0	22	2.3	88	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC05_50	SC05	Lake Erie sample	Lake Erie sample	paired with SC07, SC06	15.0	SC05	Field 53-spare	41.70343145018	-83.07077697249	158.0		81.0		Archive 5.0um/0.2um	2018-09-02	Absent	2018-09-02	Yes	WE13-WE16-E	open_water	18:52:01.720000	00:03:07	2.550936569964255	1.0859175078305903	No	53.7								3.88724892343794	8395.10104910714	3.18052886315754	25.0932295445033			Late	11378.568457243087	21071.42306896868	110.48165440531443	40.91913126122757	0.0019419253805163295		134793	136570.0	134882.0	50	5.1	76	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
